what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287467026445
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467059531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467062947
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467076775
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467079065
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467079148
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467079196
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467113149
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467117965
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467124531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467130309
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467130382
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467130449
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467137219
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467145198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467159109
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467171273
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467173029
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467175290
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467179950
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467208752
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287467235555
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467252954
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467254942
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1287467257224
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467258868
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467262447
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467354011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287467775558
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287467780514
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287467780681
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287467780681
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287467781826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1287467789723
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1287467799161
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineUp",1287467800144
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineUp",1287467800333
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1287467800649
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1287467802329
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.columnNext",1287467803591
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineDown",1287467803882
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.columnNext",1287467804152
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.columnNext",1287467804424
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.cut.line.to.end",1287467804802
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287467812693
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1287467830158
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1287467835115
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineUp",1287467835848
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineUp",1287467836048
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1287467836315
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1287467837094
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineUp",1287467837855
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287467838788
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287467843497
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1287467853982
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287467873266
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1287467889050
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.cut.line.to.end",1287467894563
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287467898277
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineDown",1287467905674
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1287467906321
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineUp",1287467906994
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineDown",1287467909556
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1287467909712
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.cut.line.to.end",1287467910154
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1287467910568
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.cut.line.to.end",1287467910883
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1287467917115
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287467919185
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineUp",1287467921433
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineDown",1287467922361
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287467928599
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.columnNext",1287467939150
